Platform__r.Name,Challenge__r.Challenge_Id__c
Other,1125
Salesforce.com,1144
Other,1144
Salesforce.com,1080
Mobile,1080
Salesforce.com,1153
Salesforce.com,1154
Salesforce.com,1155
Other,1147
Other,1148
Salesforce.com,1129
Mobile,1129
Salesforce.com,1161
Other,1161
Salesforce.com,1156
Salesforce.com,1162
Google,1162
Salesforce.com,1143
Other,1143
Salesforce.com,1150
Salesforce.com,1142
Google,1142
Heroku,1142
Mobile,1142
Twilio,1142
Other,1142
Other,1134
Salesforce.com,1145
Salesforce.com,1157
Heroku,1157
Cloud Foundry,1157
Salesforce.com,1160
Google,1160
Other,1160
Salesforce.com,1167
Salesforce.com,1164
Heroku,1164
Salesforce.com,1163
Heroku,1163
Salesforce.com,1082
Google,1082
AWS,1082
Heroku,1082
Salesforce.com,1159
AWS,1159
Heroku,1159
Mobile,1159
Other,1159
Cloud Foundry,1159
Google,1173
Salesforce.com,1168
Salesforce.com,1165
Google,1165
Heroku,1165
Cloud Foundry,1165
Google,1175
Google,1180
Other,1180
Google,1181
Salesforce.com,1172
Twilio,1172
Google,1182
Google,1183
Salesforce.com,1166
Google,1166
AWS,1166
Heroku,1166
Cloud Foundry,1166
Google,1171
Google,1174
Salesforce.com,1170
Google,1170
Salesforce.com,1186
Other,1169
Salesforce.com,1189
Google,1190
Google,1191
Google,1192
Salesforce.com,1184
Salesforce.com,1187
Salesforce.com,1152
Other,1158
Salesforce.com,1179
Salesforce.com,1196
Google,1196
AWS,1196
Heroku,1196
Cloud Foundry,1196
Salesforce.com,1197
Twilio,1197
Heroku,1188
Heroku,1198
Google,1185
AWS,1185
Heroku,1185
Cloud Foundry,1185
Salesforce.com,1199
Google,1199
AWS,1199
Heroku,1199
Cloud Foundry,1199
Mobile,1202
Salesforce.com,1206
Heroku,1206
Cloud Foundry,1206
Salesforce.com,1194
Google,1203
Salesforce.com,1200
Heroku,1200
Cloud Foundry,1200
Salesforce.com,1207
Heroku,1207
Cloud Foundry,1207
Salesforce.com,1205
Salesforce.com,1209
Box,1209
Salesforce.com,1210
Google,1210
Heroku,1210
Cloud Foundry,1210
Heroku,1213
Cloud Foundry,1213
Heroku,1212
Cloud Foundry,1212
Other,1216
Cloud Foundry,1211
Other,1204
Heroku,1221
Cloud Foundry,1221
Heroku,1220
Mobile,1201
Google,1219
AWS,1219
Heroku,1219
Cloud Foundry,1219
Salesforce.com,1214
Heroku,1214
Cloud Foundry,1214
Heroku,1195
Cloud Foundry,1195
Salesforce.com,1224
Heroku,1224
Other,1224
Salesforce.com,1208
Salesforce.com,1226
Google,1226
Other,1329
Salesforce.com,1330
Salesforce.com,1276
Google,1231
Mobile,1332
Mobile,1333
Salesforce.com,1334
Box,1334
Salesforce.com,1331
Google,1331
Salesforce.com,1319
Salesforce.com,1337
AWS,1218
Google,1225
Mobile,1215
Other,1215
Salesforce.com,1176
Salesforce.com,1278
Other,1278
Salesforce.com,1238
Google,1277
Other,1277
Salesforce.com,1326
Salesforce.com,1317
Other,1317
Salesforce.com,1322
Google,1322
AWS,1322
Heroku,1322
Other,1322
Cloud Foundry,1322
Salesforce.com,1229
Salesforce.com,1320
Heroku,1320
Salesforce.com,1325
Salesforce.com,1324
Other,1324
Salesforce.com,1279
Salesforce.com,1318
Google,1318
Google,1328
Salesforce.com,1329
Mobile,1329
Salesforce.com,1316
Salesforce.com,1237
Salesforce.com,1323
Salesforce.com,1321
Heroku,1321
Cloud Foundry,1321
Google,1338
Google,1339
Google,1336
Heroku,1698
Google,1420
Salesforce.com,1349
Salesforce.com,1711
Google,1734
Newbie,1756
Heroku,1756
Google,1795
Salesforce.com,1797
Android,1800
Google,1801
Salesforce.com,1756
Heroku,1699
Salesforce.com,1700
Salesforce.com,1710
Google,1738
Salesforce.com,1641
Google,1639
Salesforce.com,1967
Salesforce.com,1640
Salesforce.com,1621
Salesforce.com,1970
Google,1643
Heroku,1643
Salesforce.com,1643
Salesforce.com,1969
Salesforce.com,1968
Google,1652
Salesforce.com,1649
Salesforce.com,1650
Salesforce.com,1651
Google,1971
Salesforce.com,1971
Salesforce.com,1648
Salesforce.com,1655
Heroku,1654
Salesforce.com,1654
Salesforce.com,1659
Salesforce.com,1660
Newbie,1659
Salesforce.com,1750
Salesforce.com,1351
Heroku,1351
Salesforce.com,1353
Cloud Foundry,1351
Salesforce.com,1352
Google,1351
Salesforce.com,1356
Salesforce.com,1355
Google,1355
Heroku,1359
Salesforce.com,1980
Other,1357
Heroku,1736
Mobile,1359
Google,1739
Salesforce.com,1736
Salesforce.com,1358
Mobile,1360
Heroku,1360
Cloud Foundry,1359
Salesforce.com,1982
Salesforce.com,1737
Salesforce.com,1360
Cloud Foundry,1360
Salesforce.com,1741
Google,1359
Google,1360
Salesforce.com,1359
Other,1740
Salesforce.com,1765
Mobile,1755
Heroku,1755
Salesforce.com,1426
Mobile,1404
Box,1408
Salesforce.com,1429
Salesforce.com,1404
Salesforce.com,1410
Salesforce.com,1427
Twilio,1413
Salesforce.com,1412
iOS,1800
Google,1802
Other,1804
Google,1985
Salesforce.com,1773
Salesforce.com,1792
Heroku,1769
Heroku,1789
Salesforce.com,1988
Databasedotcom,1786
Facebook,1403
Salesforce.com,1403
Box,1405
Box,1407
Mobile,1428
Google,1431
Google,1803
Mobile,1800
Salesforce.com,1804
Heroku,1791
Salesforce.com,1806
Salesforce.com,1782
Salesforce.com,1790
Salesforce.com,1791
Databasedotcom,1783
Salesforce.com,1774
Google,1775
Databasedotcom,1784
Heroku,1788
AWS,1362
Cloud Foundry,1364
Heroku,1745
Other,1745
Salesforce.com,1743
Salesforce.com,1766
Google,1749
Google,1364
Heroku,1364
Salesforce.com,1364
Salesforce.com,1363
Salesforce.com,1757
Salesforce.com,1751
Google,1373
Salesforce.com,1807
Heroku,1369
Salesforce.com,1368
Salesforce.com,1990
Cloud Foundry,1370
Salesforce.com,1993
Salesforce.com,1373
Google,1768
Salesforce.com,1370
Salesforce.com,1374
Salesforce.com,1989
Mobile,1372
Heroku,1370
Mobile,1753
Salesforce.com,1754
Box,1365
Google,1366
Salesforce.com,1986
Salesforce.com,1763
Salesforce.com,1767
Google,1381
Salesforce.com,1383
Heroku,1384
Twilio,1378
Salesforce.com,2004
Android,1382
Cloud Foundry,1384
Salesforce.com,1376
Box,1378
Mobile,1382
Mobile,1378
Salesforce.com,1380
Salesforce.com,1813
Salesforce.com,1984
Google,1793
Google,1808
Heroku,1808
Salesforce.com,1808
Heroku,1375
Cloud Foundry,1375
Box,1379
Salesforce.com,1827
Newbie,1816
Other,1826
Mobile,1825
Salesforce.com,2006
Salesforce.com,1834
Other,2000
Salesforce.com,1387
Salesforce.com,1385
Facebook,1386
Salesforce.com,1819
Heroku,1821
Salesforce.com,1821
Heroku,1814
Salesforce.com,2007
Salesforce.com,1934
Salesforce.com,1417
Cloud Foundry,1388
Salesforce.com,1391
Salesforce.com,1390
Salesforce.com,1419
Salesforce.com,1940
Salesforce.com,1828
AWS,1414
Salesforce.com,1938
Salesforce.com,1835
Heroku,1388
Salesforce.com,1954
Mobile,1408
Salesforce.com,1837
Salesforce.com,1831
Salesforce.com,1413
Android,1408
Salesforce.com,1830
Heroku,1834
AWS,1840
Cloud Foundry,1840
Google,1840
Heroku,1840
Cloud Foundry,1391
Heroku,1391
Google,1941
Salesforce.com,1957
Heroku,1433
Salesforce.com,1435
Salesforce.com,1422
Salesforce.com,1432
Salesforce.com,1939
Cloud Foundry,1433
Salesforce.com,1434
Salesforce.com,1847
Mobile,1848
Salesforce.com,1949
Other,1850
Box,1956
Salesforce.com,1845
Salesforce.com,1438
Salesforce.com,1950
Salesforce.com,1843
Salesforce.com,1958
Salesforce.com,1844
Mobile,1942
Salesforce.com,1441
Salesforce.com,1443
Salesforce.com,1440
Cloud Foundry,1440
Other,1442
AWS,1951
Salesforce.com,1963
Salesforce.com,1852
Google,1439
Salesforce.com,1948
Google,1854
Other,1962
Personal,1799
Salesforce.com,1952
Salesforce.com,1965
Podio,1365
Salesforce.com,1964
Salesforce.com,1855
Salesforce.com,1953
IdaApps,1637
Salesforce.com,1854
Mobile,1953
Google,1858
Personal,1825
Mobile,1451
Salesforce.com,1449
Android,1862
iOS,1862
Mobile,1862
Salesforce.com,1862
Heroku,1860
Salesforce.com,1860
Google,1447
Other,1859
Heroku,1866
Salesforce.com,1456
Salesforce.com,1868
Salesforce.com,1869
Salesforce.com,1457
Salesforce.com,1458
Heroku,1457
Other,1458
Salesforce.com,1879
Salesforce.com,1459
Heroku,1456
Salesforce.com,1870
Google,1460
Heroku,1875
Salesforce.com,1875
Other,1858
Newbie,1858
Salesforce.com,1466
Salesforce.com,1465
Android,1871
Mobile,1871
Salesforce.com,1871
Salesforce.com,1867
Other,1452
Google,1865
Salesforce.com,1464
Other,1864
Other,1877
Other,1872
Google,1452
Google,1462
Salesforce.com,1881
Google,1470
Heroku,1876
Salesforce.com,1475
Salesforce.com,1878
Salesforce.com,1470
Android,1966
Mobile,1966
Salesforce.com,1483
Salesforce.com,1469
Salesforce.com,1895
Salesforce.com,1477
Amazon,1885
Salesforce.com,1883
Mobile,1469
Salesforce.com,1896
Amazon,1876
Salesforce.com,1478
Google,1489
Salesforce.com,1487
Cloud Foundry,1876
Google,1492
Heroku,1893
Salesforce.com,1893
Salesforce.com,1890
Salesforce.com,1486
Google,1885
Salesforce.com,1891
Mobile,1494
Salesforce.com,1494
Google,1471
DocuSign,1471
Cloud Foundry,1501
Google,1501
Heroku,1501
Heroku,1471
Salesforce.com,1901
Cloud Foundry,1502
Heroku,1502
Salesforce.com,1502
Google,1499
Salesforce.com,1900
Salesforce.com,1505
iOS,1507
Mobile,1507
iOS,1504
Mobile,1504
Google,1511
Salesforce.com,1509
Google,1510
Salesforce.com,1507
Google,1513
DocuSign,1172
Salesforce.com,1517
Heroku,1172
Salesforce.com,1504
Heroku,1518
Salesforce.com,1518
Heroku,1514
Salesforce.com,1514
DocuSign,1341
Salesforce.com,1519
Salesforce.com,1520
Google,1521
Mobile,1522
Salesforce.com,1522
Mobile,1523
Salesforce.com,1523
Mobile,1534
Salesforce.com,1529
Mobile,1528
Salesforce.com,1528
Google,1580
Google,1567
Other,1567
Salesforce.com,1567
Salesforce.com,1526
Salesforce.com,1573
Salesforce.com,1574
Salesforce.com,1527
Salesforce.com,1565
Google,1545
Salesforce.com,1539
Google,1566
Heroku,1544
Google,1541
Mobile,1546
Cloud Foundry,1544
Heroku,1536
Mobile,1542
Other,1549
Salesforce.com,1536
Mobile,1547
Android,1554
Google,1572
Cloud Foundry,1570
Salesforce.com,1554
Heroku,1570
Google,1577
Google,1556
Salesforce.com,1558
Salesforce.com,1575
Mobile,1550
Salesforce.com,1556
Salesforce.com,1551
Mobile,1579
Salesforce.com,1576
Mobile,1581
Heroku,1555
Salesforce.com,1555
Salesforce.com,1583
Mobile,1569
Salesforce.com,1571
Salesforce.com,1557
Mobile,1564
Salesforce.com,1561
Salesforce.com,1579
Google,1563
Salesforce.com,1563
Other,1562
Google,1584
Mobile,1559
Salesforce.com,1582
Salesforce.com,1560
